miRNA,Target_Gene,Is_DEG,DEG_Expression_Direction,Predicted_Regulatory_Relationship,Database,Evidence_Type,miRNA_log2FC,miRNA_Direction,miRNA_pvalue,Target_log2FC,Target_Direction,Target_padj,Relationship_Category
hsa-miR-6877-3p,BAAT,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,30.0,Up-regulated,2.79e-10,Inconsistent_Both_Up
hsa-miR-6877-3p,RIPOR2,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.033,Down-regulated,0.017201477,Consistent_Inhibition
hsa-miR-6877-3p,KIAA0319,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.521,Down-regulated,0.015789562,Consistent_Inhibition
hsa-miR-6877-3p,NSMF,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.679,Up-regulated,0.049062508,Inconsistent_Both_Up
hsa-miR-6877-3p,MAGEC2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,22.328,Up-regulated,2.27e-05,Inconsistent_Both_Up
hsa-miR-6877-3p,GYPC,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.063,Up-regulated,0.000248806,Inconsistent_Both_Up
hsa-miR-6877-3p,ANKRD62,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-30.0,Down-regulated,2.79e-10,Consistent_Inhibition
hsa-miR-6877-3p,CEP85,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.978,Down-regulated,0.037838615,Consistent_Inhibition
hsa-miR-6877-3p,HES6,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.861,Up-regulated,0.024695349,Inconsistent_Both_Up
hsa-miR-6877-3p,MGST1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.204,Up-regulated,0.049062508,Inconsistent_Both_Up
hsa-miR-6877-3p,GREM2,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.109,Down-regulated,0.04241884,Consistent_Inhibition
hsa-miR-6877-3p,TREML2,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.865,Down-regulated,0.042149404,Consistent_Inhibition
hsa-miR-6877-3p,FBXO17,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.715,Up-regulated,0.049232066,Inconsistent_Both_Up
hsa-miR-6877-3p,SLC38A1,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.883,Down-regulated,0.048990101,Consistent_Inhibition
hsa-miR-6877-3p,GNE,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.865,Down-regulated,0.018439981,Consistent_Inhibition
hsa-miR-6877-3p,TSPAN5,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.828,Up-regulated,0.008072093,Inconsistent_Both_Up
hsa-miR-6877-3p,AFF1,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.025,Down-regulated,0.027523925,Consistent_Inhibition
hsa-miR-6877-3p,LMOD1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.921,Up-regulated,0.01197074,Inconsistent_Both_Up
hsa-miR-6877-3p,CCN1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.926,Up-regulated,0.036503324,Inconsistent_Both_Up
hsa-miR-6877-3p,IL12B,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.699,Down-regulated,0.032387046,Consistent_Inhibition
hsa-miR-6877-3p,OSMR,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.055,Down-regulated,0.017335091,Consistent_Inhibition
hsa-miR-6877-3p,C10orf99,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-16.025,Down-regulated,0.0126152,Consistent_Inhibition
hsa-miR-6877-3p,CCDC9B,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.779,Up-regulated,0.042408159,Inconsistent_Both_Up
hsa-miR-6877-3p,TSC22D3,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.897,Up-regulated,0.022027507,Inconsistent_Both_Up
hsa-miR-6877-3p,SSTR2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.634,Up-regulated,0.02918502,Inconsistent_Both_Up
hsa-miR-6877-3p,EBF4,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.8,Up-regulated,0.043020919,Inconsistent_Both_Up
hsa-miR-6877-3p,BCL6,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.869,Down-regulated,0.04241884,Consistent_Inhibition
hsa-miR-6877-3p,SMIM3,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.869,Up-regulated,0.001790641,Inconsistent_Both_Up
hsa-miR-6877-3p,ANKS4B,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,6.205,Up-regulated,0.049102047,Inconsistent_Both_Up
hsa-miR-6877-3p,ZBTB8A,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.686,Up-regulated,0.030104933,Inconsistent_Both_Up
hsa-miR-6877-3p,CLDN4,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.807,Down-regulated,0.04951724,Consistent_Inhibition
hsa-miR-6877-3p,LEP,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-2.571,Down-regulated,0.012766614,Consistent_Inhibition
hsa-miR-6877-3p,SERPINA7,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,29.937,Up-regulated,2.79e-10,Inconsistent_Both_Up
hsa-miR-6877-3p,IL2RA,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.927,Up-regulated,0.041520614,Inconsistent_Both_Up
hsa-miR-6877-3p,AVPR1B,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-16.522,Down-regulated,0.008699258,Consistent_Inhibition
hsa-miR-6877-3p,PLA2G5,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.728,Up-regulated,0.022249828,Inconsistent_Both_Up
hsa-miR-6877-3p,FTCD,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.424,Down-regulated,0.007752041,Consistent_Inhibition
hsa-miR-6877-3p,OASL,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.201,Up-regulated,0.0126152,Inconsistent_Both_Up
hsa-miR-6877-3p,NNMT,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.804,Up-regulated,0.000391705,Inconsistent_Both_Up
hsa-miR-6877-3p,VSIG10L2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,24.311,Up-regulated,1.65e-06,Inconsistent_Both_Up
hsa-miR-6877-3p,ZNF507,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.543,Down-regulated,0.037422409,Consistent_Inhibition
hsa-miR-6877-3p,GADD45B,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.584,Up-regulated,0.020674929,Inconsistent_Both_Up
hsa-miR-6877-3p,CYP3A4,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,6.44,Up-regulated,0.00337847,Inconsistent_Both_Up
hsa-miR-6877-3p,AGPAT5,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.918,Down-regulated,0.002170178,Consistent_Inhibition
hsa-miR-6877-3p,KCNK10,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,19.728,Up-regulated,0.000288762,Inconsistent_Both_Up
hsa-miR-6877-3p,FKBP5,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.114,Up-regulated,0.035206414,Inconsistent_Both_Up
hsa-miR-6877-3p,GATA6,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.751,Up-regulated,0.028084916,Inconsistent_Both_Up
hsa-miR-6877-3p,LRP3,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.61,Up-regulated,0.049062508,Inconsistent_Both_Up
hsa-miR-6877-3p,NDN,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.781,Up-regulated,0.005332758,Inconsistent_Both_Up
hsa-miR-6877-3p,CCN4,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.135,Up-regulated,0.003365874,Inconsistent_Both_Up
hsa-miR-6877-3p,SOCS6,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.478,Down-regulated,0.048990101,Consistent_Inhibition
hsa-miR-6877-3p,PRLHR,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,17.092,Up-regulated,0.005174159,Inconsistent_Both_Up
hsa-miR-6877-3p,ACTL8,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,22.842,Up-regulated,1.19e-05,Inconsistent_Both_Up
hsa-miR-6877-3p,JDP2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.713,Up-regulated,0.02935565,Inconsistent_Both_Up
hsa-miR-6877-3p,ATOH8,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.103,Up-regulated,0.022027507,Inconsistent_Both_Up
hsa-miR-6877-3p,SLC2A2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,24.108,Up-regulated,1.97e-06,Inconsistent_Both_Up
hsa-miR-6877-3p,MAT1A,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,2.175,Up-regulated,0.012766614,Inconsistent_Both_Up
hsa-miR-6877-3p,TRNP1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.899,Up-regulated,0.01197074,Inconsistent_Both_Up
hsa-miR-6877-3p,COPZ2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.702,Up-regulated,0.027678609,Inconsistent_Both_Up
hsa-miR-6877-3p,SMOX,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.131,Up-regulated,0.000990711,Inconsistent_Both_Up
hsa-miR-6877-3p,TPBG,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.849,Down-regulated,0.033227815,Consistent_Inhibition
hsa-miR-6877-3p,DMTN,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.044,Up-regulated,0.025052034,Inconsistent_Both_Up
hsa-miR-6877-3p,LYPD3,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.022,Down-regulated,0.008444947,Consistent_Inhibition
hsa-miR-6877-3p,TMEM158,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.297,Up-regulated,0.003610167,Inconsistent_Both_Up
hsa-miR-6877-3p,AKR1B10,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,3.479,Up-regulated,0.035816856,Inconsistent_Both_Up
hsa-miR-6877-3p,ARSJ,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.793,Up-regulated,0.02055376,Inconsistent_Both_Up
hsa-miR-6877-3p,BNIPL,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.263,Down-regulated,0.009412156,Consistent_Inhibition
hsa-miR-6877-3p,SERPINI1,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.438,Down-regulated,0.014745149,Consistent_Inhibition
hsa-miR-6877-3p,FNDC4,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.336,Up-regulated,7.67e-05,Inconsistent_Both_Up
hsa-miR-6877-3p,C6,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.789,Up-regulated,0.011404278,Inconsistent_Both_Up
hsa-miR-6877-3p,CGB7,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.776,Down-regulated,0.016675677,Consistent_Inhibition
hsa-miR-6877-3p,NLRP4,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,19.863,Up-regulated,0.000250002,Inconsistent_Both_Up
hsa-miR-6877-3p,SGCZ,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,24.197,Up-regulated,1.83e-06,Inconsistent_Both_Up
hsa-miR-6877-3p,RUNDC3B,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.282,Down-regulated,0.049102047,Consistent_Inhibition
hsa-miR-6877-3p,SNCA,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.012,Up-regulated,0.049644775,Inconsistent_Both_Up
hsa-miR-6877-3p,SAGE1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,22.64,Up-regulated,1.53e-05,Inconsistent_Both_Up
hsa-miR-6877-3p,KCNIP1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,2.249,Up-regulated,0.011133387,Inconsistent_Both_Up
hsa-miR-6877-3p,C2CD3,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.732,Down-regulated,0.031468958,Consistent_Inhibition
hsa-miR-6877-3p,USP27X,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.761,Down-regulated,0.049062508,Consistent_Inhibition
hsa-miR-6877-3p,RAI14,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.765,Down-regulated,0.030000808,Consistent_Inhibition
hsa-miR-6877-3p,MYLIP,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.6,Down-regulated,0.045067713,Consistent_Inhibition
hsa-miR-6877-3p,CGB5,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.951,Down-regulated,0.02061737,Consistent_Inhibition
hsa-miR-6877-3p,CGB8,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-2.101,Down-regulated,0.00704024,Consistent_Inhibition
hsa-miR-6877-3p,CGB3,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-2.049,Down-regulated,0.024908779,Consistent_Inhibition
hsa-miR-1269a,RABGAP1L,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-0.665,Down-regulated,0.022027507,Consistent_Inhibition
hsa-miR-1269a,ZBTB16,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,1.28,Up-regulated,0.017810079,Inconsistent_Both_Up
hsa-miR-1269a,NTRK2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,1.822,Up-regulated,0.018697048,Inconsistent_Both_Up
hsa-miR-1269a,SOCS6,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-0.478,Down-regulated,0.048990101,Consistent_Inhibition
hsa-miR-1269a,ZBTB47,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,0.701,Up-regulated,0.046518873,Inconsistent_Both_Up
hsa-miR-1269a,TSPAN5,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,0.828,Up-regulated,0.008072093,Inconsistent_Both_Up
hsa-miR-1269a,OASL,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,1.201,Up-regulated,0.0126152,Inconsistent_Both_Up
hsa-miR-1269a,LHX3,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-20.128,Down-regulated,0.000250002,Consistent_Inhibition
hsa-miR-1269a,SLC38A1,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-0.883,Down-regulated,0.048990101,Consistent_Inhibition
hsa-miR-1269a,ST6GALNAC1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,0.811,Up-regulated,0.010622604,Inconsistent_Both_Up
hsa-miR-1269a,NECAB1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,0.82,Up-regulated,0.049062508,Inconsistent_Both_Up
hsa-miR-1269a,TREML2,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-1.865,Down-regulated,0.042149404,Consistent_Inhibition
hsa-miR-1269a,SNCA,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,1.012,Up-regulated,0.049644775,Inconsistent_Both_Up
hsa-miR-1269a,BNIPL,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-1.263,Down-regulated,0.009412156,Consistent_Inhibition
hsa-miR-1269a,NSMF,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,0.679,Up-regulated,0.049062508,Inconsistent_Both_Up
hsa-miR-1269a,F3,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,0.763,Up-regulated,0.011462858,Inconsistent_Both_Up
hsa-miR-1269a,FTCD,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-1.424,Down-regulated,0.007752041,Consistent_Inhibition
hsa-miR-1269a,IL12B,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-1.699,Down-regulated,0.032387046,Consistent_Inhibition
hsa-miR-1269a,CCDC9B,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,0.779,Up-regulated,0.042408159,Inconsistent_Both_Up
hsa-miR-1269a,INPP5F,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-0.529,Down-regulated,0.037251845,Consistent_Inhibition
hsa-miR-1269a,FAM167A,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-1.405,Down-regulated,0.006705888,Consistent_Inhibition
hsa-miR-1269a,KCNE4,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,0.752,Up-regulated,0.04414703,Inconsistent_Both_Up
hsa-miR-1269a,ADAMTS15,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,0.816,Up-regulated,0.019723562,Inconsistent_Both_Up
hsa-miR-1269a,CLDN4,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-0.807,Down-regulated,0.04951724,Consistent_Inhibition
hsa-miR-1269a,SGCZ,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,24.197,Up-regulated,1.83e-06,Inconsistent_Both_Up
hsa-miR-1269a,AGXT,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,2.182,Up-regulated,0.030104933,Inconsistent_Both_Up
hsa-miR-1269a,LEP,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-2.571,Down-regulated,0.012766614,Consistent_Inhibition
hsa-miR-1269a,ALDH1A1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,1.12,Up-regulated,0.003625827,Inconsistent_Both_Up
hsa-miR-1269a,TAB3,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-0.635,Down-regulated,0.049102047,Consistent_Inhibition
hsa-miR-1269a,TMEM119,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,0.876,Up-regulated,0.031588773,Inconsistent_Both_Up
hsa-miR-1269a,KCNIP1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,2.249,Up-regulated,0.011133387,Inconsistent_Both_Up
hsa-miR-1269a,SIX4,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-0.764,Down-regulated,0.009851754,Consistent_Inhibition
hsa-miR-1269a,FKBP5,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,1.114,Up-regulated,0.035206414,Inconsistent_Both_Up
hsa-miR-1269a,AFF1,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-1.025,Down-regulated,0.027523925,Consistent_Inhibition
hsa-miR-1269a,PNMA2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,1.373,Up-regulated,0.026340182,Inconsistent_Both_Up
hsa-miR-1269a,LRP3,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,0.61,Up-regulated,0.049062508,Inconsistent_Both_Up
hsa-miR-1269a,OSMR,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,3.199,Up-regulated,1.32e-05,-1.055,Down-regulated,0.017335091,Consistent_Inhibition
