miRNA,Target_Gene,Is_DEG,DEG_Expression_Direction,Predicted_Regulatory_Relationship
hsa-miR-1269a,AFF1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,PNMA2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,LRP3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,OSMR,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,C8A,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,F11,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,AVPR1B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,ACER2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,RUNDC3A,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,COPZ2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,SMOX,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,RNF39,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,PARP3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,NNMT,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,CGB7,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,ZNF507,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,EPDR1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,CCN4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,SHISA9,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,SCML2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,ECM1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,SMIM3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,RUNDC3B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,KIAA0319,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,A1CF,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,ACTL8,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,PRSS23,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,MYLIP,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,TSC22D3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,PLA2G5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,AFF1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-223-3p,NTRK2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,ZBTB47,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,TAB3,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-223-3p,CCDC171,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-223-3p,INPP5F,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-223-3p,SIX4,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-223-3p,EPDR1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,RABGAP1L,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-223-3p,LRCH2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,KIAA0319,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-223-3p,ANKRD62,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-223-3p,TSPAN5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,ZBTB16,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,HYAL2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,KCNK10,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,BAAT,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,RIPOR2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-223-3p,UGT1A9,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,SGCZ,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-223-3p,LIMCH1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-223-3p,LHX3,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-373-3p,LIMCH1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,RABGAP1L,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,CYP19A1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,NTRK2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,RIPOR2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,INPP5F,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,ZBTB47,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,TAB3,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,FOXA2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,TTBK2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,OASL,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,A1CF,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,SNCA,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,TMEM158,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,GYPC,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,KLF9,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,KIAA0319,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,FXYD7,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,SHISA9,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,FKBP5,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,IFITM10,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,LRP3,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,NDN,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,SLC28A2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,PRLHR,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,FTCD,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,SERPINA1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,IL2RA,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,SGCZ,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,PLA2G5,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,ZBTB16,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,F11,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,C4orf50,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,VSIG10L2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,ARRDC2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,CCN4,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,ANKRD62,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,AGPAT5,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,GREM2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,TREML2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,PRSS23,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,C10orf99,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,KCNE4,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,ZBTB8A,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,LEP,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,SERPINA7,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,TSPAN5,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,HYAL1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,PARP3,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,SLC38A1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,SLC30A1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,SPATC1L,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,TSC22D3,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,CGB5,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,CGB7,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,ARSJ,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,RAI14,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-373-3p,PNMA2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,HYAL2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-373-3p,GUCA2A,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-574-3p,ACTL8,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,PRAMEF1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,C4orf50,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,RABGAP1L,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,INPP5F,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,ZBTB47,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,TSPAN5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,CCDC171,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,OASL,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,A1CF,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,BAAT,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,ARRDC2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,SIX4,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,HAO1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,AGPAT5,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,UGT1A9,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,GREM2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,USP27X,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,SHISA9,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,FKBP5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,OSMR,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,IFITM10,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,F3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,AFF1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,ZBTB16,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,PNMA2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,SLC28A2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,FAM167A,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,SSTR2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,JDP2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,ADAMTS15,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,CLDN4,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,LEP,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,AVPR1B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,MGST1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,ZBTB8A,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,SLC6A2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,TTBK2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,NSMF,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,CCN4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,GNE,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,PRSS23,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,CCN1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,CSF2RB,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,PRR23C,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,TRNP1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,CGB7,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-574-3p,MICA,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,ST6GALNAC1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,AKR1B10,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,LURAP1L,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,PLEKHG4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,MAGEC2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,KCNIP1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-574-3p,KCNK10,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-519d-5p,LIMCH1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,CYP19A1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,RABGAP1L,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,APCDD1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,GEM,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,TSC22D3,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,TRIM49D1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,ARRDC2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,KLF9,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,MGST1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,SERPINA4,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,GREM2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,SLC38A1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,SHISA9,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,SLC6A2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,MYLIP,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,FAM167A,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,SGCZ,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,LEP,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,MAT1A,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,OASL,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,SNCA,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,KCNK10,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,LMOD1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,SLC28A2,Yes,Up-regulated,Expression derepression ↓↑
