Gene_Symbol,Is_DEG,Expression_Direction,Is_DMR,Methylation_Direction,Predicted_Regulatory_Relationship,DEG_log2FC,DEG_padj,Methylation_Value,Relationship_Category,DMR_Index
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,220257
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,220537
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,378590
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,379650
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,380529
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,381525
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,382008
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,383004
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,383149
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,383317
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,383378
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,383527
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,384095
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,384497
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,384548
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,384727
AKR1C3,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,1.177,0.020328259,4.336768691,Inconsistent_Both_Up,120170
AKR1C3,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,1.177,0.020328259,4.336768691,Inconsistent_Both_Up,299034
AKR1C3,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,1.177,0.020328259,4.336768691,Inconsistent_Both_Up,300084
AKR1C3,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,1.177,0.020328259,1.539382048,Inconsistent_Both_Up,300085
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,5.1266457,Inconsistent_Both_Up,322018
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,3.621993046,Inconsistent_Both_Up,322019
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,3.621993046,Inconsistent_Both_Up,322113
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,5.1266457,Inconsistent_Both_Up,322114
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,5.1266457,Inconsistent_Both_Up,322115
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,5.1266457,Inconsistent_Both_Up,322116
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,3.621993046,Inconsistent_Both_Up,322117
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,3.621993046,Inconsistent_Both_Up,322118
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,3.621993046,Inconsistent_Both_Up,322119
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,5.1266457,Inconsistent_Both_Up,324094
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,5.1266457,Inconsistent_Both_Up,324095
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,3.621993046,Inconsistent_Both_Up,324096
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,5.1266457,Inconsistent_Both_Up,324097
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,3.621993046,Inconsistent_Both_Up,395230
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,3.621993046,Inconsistent_Both_Up,395231
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,5.1266457,Inconsistent_Both_Up,395232
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,5.1266457,Inconsistent_Both_Up,395233
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,3.621993046,Inconsistent_Both_Up,395234
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,5.1266457,Inconsistent_Both_Up,395235
VSIG10L2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,24.311,1.65e-06,3.621993046,Inconsistent_Both_Up,395236
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69528
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69529
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69530
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69531
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69532
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,1.908430716,Inconsistent_Both_Up,69533
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69534
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69535
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69536
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69537
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,1.908430716,Inconsistent_Both_Up,69538
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,69539
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69540
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,69541
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,2.757348814,Inconsistent_Both_Up,69542
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69543
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69544
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,69545
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69546
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69547
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69548
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,1.908430716,Inconsistent_Both_Up,69549
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,2.954555734,Inconsistent_Both_Up,69550
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,69551
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69552
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69553
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,69554
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69555
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69556
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,69557
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69558
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,69559
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69560
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,69561
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69562
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,1.908430716,Inconsistent_Both_Up,69563
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69564
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69565
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69566
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69567
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,69568
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69569
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,69570
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69571
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69572
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,69573
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,1.908430716,Inconsistent_Both_Up,69574
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,2.757348814,Inconsistent_Both_Up,69575
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69576
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69577
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,1.908430716,Inconsistent_Both_Up,69578
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69579
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69580
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69581
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,69582
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69583
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,2.954555734,Inconsistent_Both_Up,69584
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69585
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69586
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,69587
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,69588
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69589
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69590
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69591
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,69592
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,69593
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,69594
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,69595
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,69596
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,69597
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,69598
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,138661
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,138662
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,138663
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,138664
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,138665
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,138666
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,165083
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,165084
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,1.908430716,Inconsistent_Both_Up,165085
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,1.908430716,Inconsistent_Both_Up,165086
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,1.908430716,Inconsistent_Both_Up,165087
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,165088
TTLL10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,0.847,0.006705888,-3.037933887,Classic_Demethylation_Activation,165089
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,165090
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,165091
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.353554057,Inconsistent_Both_Up,165092
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,182733
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,182734
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,2.757348814,Inconsistent_Both_Up,182735
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,182736
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,2.954555734,Inconsistent_Both_Up,182737
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,182738
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,182739
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,191893
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,191894
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,367197
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,367198
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,367199
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,367200
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,367201
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,2.757348814,Inconsistent_Both_Up,367202
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,367203
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,367204
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,367205
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,2.954555734,Inconsistent_Both_Up,367206
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,367207
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,367208
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.542818824,Inconsistent_Both_Up,367209
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,367210
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,367211
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,0.063836025,Inconsistent_Both_Up,367212
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,367213
TTLL10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,0.847,0.006705888,3.02220371,Inconsistent_Both_Up,367214
